D,M,M1,F,Om,psi_a,psi_b,eps_c,eps_d
0,0,0,0,1,-171996,-174.2,92025,8.9
-2,0,0,2,2,-13187,-1.6,5736,-3.1
0,0,0,2,2,-2274,-0.2,977,-0.5
0,0,0,0,2,2062,0.2,-895,0.5
0,1,0,0,0,1426,-3.4,54,-0.1
0,0,1,0,0,712,0.1,-7,0.0
-2,1,0,2,2,-517,1.2,224,-0.6
0,0,0,2,1,-386,-0.4,200,0.0
0,0,1,2,2,-301,0.0,129,-0.1
-2,-1,0,2,2,217,-0.5,-95,0.3
-2,0,1,0,0,-158,0.0,0,0.0
-2,0,0,2,1,129,0.1,-70,0.0
0,0,-1,2,2,123,0.0,-53,0.0
2,0,0,0,0,63,0.0,0,0.0
0,0,1,0,1,63,0.1,-33,0.0
2,0,-1,2,2,-59,0.0,26,0.0
0,0,-1,0,1,-58,-0.1,32,0.0
0,0,1,2,1,-51,0.0,27,0.0
-2,0,2,0,0,48,0.0,0,0.0
