# source: Hipparcos (ESA 1997) astrometry, matched to Swiss Ephemeris sefstars.txt names; epoch J2000.0 ICRS
# columns: name,ra_deg,dec_deg,pm_ra_mas_yr,pm_dec_mas_yr,parallax_mas,rv_km_s
name,ra_deg,dec_deg,pm_ra_mas_yr,pm_dec_mas_yr,parallax_mas,rv_km_s
Aldebaran,68.980163,16.509302,62.78,-189.36,48.94,54.26
Regulus,152.092962,11.967209,-249.40,4.91,41.13,5.9
Spica,201.298247,-11.161319,-42.50,-31.73,13.06,1.0
Antares,247.351915,-26.432003,-10.16,-23.21,5.89,-3.4
Fomalhaut,344.412693,-29.622237,329.22,-164.22,129.81,6.5
Sirius,101.287155,-16.716116,-546.01,-1223.07,379.21,-5.5
Algol,47.042219,40.955647,2.99,-1.66,36.27,4.0
Betelgeuse,88.792939,7.407064,27.54,11.3,6.55,21.91
Rigel,78.634467,-8.201638,1.31,0.5,3.78,17.8
Pollux,116.328958,28.026199,-626.55,-45.8,96.54,3.23
Deneb,310.357980,45.280339,2.01,1.85,2.31,-4.9
Vega,279.234735,38.783689,200.94,286.23,130.23,-20.6
Altair,297.695827,8.868321,536.23,385.29,194.95,-26.6
Alcyone,56.871152,24.105136,19.34,-43.67,8.09,5.4
Bellatrix,81.282764,6.349703,-8.11,-12.88,12.92,18.2
Capella,79.172328,45.997991,75.25,-426.89,76.2,29.19
Arcturus,213.915300,19.182409,-1093.39,-2000.06,88.83,-5.19
Procyon,114.825498,5.224988,-714.59,-1036.8,284.56,-3.2
Alphard,141.896845,-8.658600,-15.23,34.37,18.09,-4.27
Zubenelgenubi,222.719638,-16.041777,-105.68,-68.4,43.03,-10.0
Zubeneshamali,229.251724,-9.382914,-98.1,-19.65,17.62,-35.6
Castor,113.649472,31.888282,-191.45,-145.19,64.12,5.4
Denebola,177.264910,14.572058,-497.68,-114.67,90.91,-0.2
Markab,346.190223,15.205267,60.4,-41.3,24.46,-2.7
Scheat,345.943573,28.082787,187.65,136.93,16.64,7.99
Alphecca,233.671950,26.714693,120.27,-89.58,43.46,1.7
Vindemiatrix,195.544158,10.959150,-273.8,19.96,29.76,-14.29
Alpheratz,2.096916,29.090431,137.46,-163.44,33.62,-10.1
Menkar,45.569888,4.089739,-10.41,-76.85,13.09,-26.08
Hamal,31.793357,23.462418,188.55,-148.08,49.56,-14.64
Mirfak,51.080709,49.861179,23.75,-26.23,6.44,-2.04
Asellus Australis,131.171247,18.154306,-17.67,-229.26,24.98,17.14
