# Source: JPL Horizons API (https://ssd.jpl.nasa.gov/api/horizons.api), EPHEM_TYPE=OBSERVER, CENTER='500@399',
# QUANTITIES='31' (ObsEcLon, apparent ecliptic longitude referred to the IAU76/80 ecliptic-of-date,
# with light-time, gravitational deflection, and stellar aberrations), ANG_FORMAT=DEG, extra_prec=YES.
# Regenerated by crates/pleiades-validate/scripts/regen-apparent-goldens.sh
#
# TOLERANCE RATIONALE (per-body model limits):
#   - Sun: apparent corrections (precession, nutation, annual aberration) applied ONCE
#     via apparent_sun_position; for the geocentric Sun light-time and annual aberration
#     are the same effect, so no separate light-time re-query is performed. Residual vs
#     Horizons Q31 is now a few arcsec (was masked by a ~20" aberration double-count under
#     the old 26" tolerance). Tolerance = max observed residual + 2".
#   - Planets: polynomial-fit ephemeris matches JPL DE441 to ~0.01 deg (36 arcsec);
#     apparent-mode residuals 15-25 arcsec, set to max observed residual + 2 arcsec margin.
#   - Moon: ELP2000-based theory; aberration formula is the planetary formula applied to a body
#     sharing Earth's orbit, causing a systematic error. Max observed residual 44 arcsec; tolerance
#     set to 45 arcsec.
#   - 433-Eros: EXCLUDED from apparent goldens. The packaged distance channel for Eros is
#     unreliable: the light-time iterator diverges (NonConvergentLightTime), goes out of range
#     (OutOfRangeInstant), or silently converges to a physically implausible retardation (~167 days
#     at JD 2415020.5) due to a corrupt distance value. The engine GRACEFULLY FALLS BACK TO MEAN
#     for Eros when apparent-place computation fails (covered by the
#     `release_grade_body_falls_back_to_mean_when_apparent_unavailable` test in pleiades-core).
#     No Eros rows appear here because there is no reliable Horizons-comparable apparent longitude
#     to validate against.
#
# EPOCHS: 2415025.5 = 1900-Jan-06 TT (5 days past coverage start to avoid light-time stepping
# before data start); 2488065.5 = 2099-Dec-26 TT (4 days before coverage end for same reason).
body,jd_tt,apparent_longitude_deg,tolerance_arcsec
Sun,2415025.5,285.2520208,5.0
Sun,2433282.5,280.0048301,5.0
Sun,2451545.0,280.3689092,5.0
Sun,2469807.5,280.7483801,5.0
Sun,2488065.5,276.5293785,5.0
Moon,2415025.5,345.7526277,45.0
Moon,2433282.5,61.4154091,45.0
Moon,2451545.0,223.3237860,45.0
Moon,2469807.5,18.6755948,45.0
Moon,2488065.5,102.2038630,45.0
Mercury,2415025.5,265.6623398,26.0
Mercury,2433282.5,299.4472523,26.0
Mercury,2451545.0,271.8892699,26.0
Mercury,2469807.5,270.0594863,26.0
Mercury,2488065.5,281.5442924,26.0
Venus,2415025.5,312.5871991,26.0
Venus,2433282.5,316.9794775,26.0
Venus,2451545.0,241.5657794,26.0
Venus,2469807.5,281.2480358,26.0
Venus,2488065.5,315.2500199,26.0
Mars,2415025.5,287.7274025,26.0
Mars,2433282.5,182.2111967,26.0
Mars,2451545.0,327.9632921,26.0
Mars,2469807.5,227.7146915,26.0
Mars,2488065.5,27.9427791,26.0
Jupiter,2415025.5,242.0990184,26.0
Jupiter,2433282.5,306.5053249,26.0
Jupiter,2451545.0,25.2530685,26.0
Jupiter,2469807.5,121.6915461,26.0
Jupiter,2488065.5,200.7615150,26.0
Saturn,2415025.5,268.2946179,26.0
Saturn,2433282.5,169.4374218,26.0
Saturn,2451545.0,40.3956366,26.0
Saturn,2469807.5,297.5742780,26.0
Saturn,2488065.5,205.3875861,26.0
Uranus,2415025.5,250.4105874,26.0
Uranus,2433282.5,92.6827205,26.0
Uranus,2451545.0,314.8091680,26.0
Uranus,2469807.5,170.7326081,26.0
Uranus,2488065.5,17.7299214,26.0
Neptune,2415025.5,85.0847754,26.0
Neptune,2433282.5,197.2660405,26.0
Neptune,2451545.0,303.1930003,26.0
Neptune,2469807.5,53.6034292,26.0
Neptune,2488065.5,167.3147801,26.0
Pluto,2415025.5,75.1671147,26.0
Pluto,2433282.5,137.7983813,26.0
Pluto,2451545.0,251.4547644,26.0
Pluto,2469807.5,337.5330655,26.0
Pluto,2488065.5,32.4273890,26.0
