# KNOWN GAP 3 differential fixture: SE stage intermediates at each geometric-miss loc row's sibling conjunction (anchor_jd_tdb = sibling @center/@graze max_jd). swe_calc/swe_fixstar with iflag base 516 (SEFLG_MOSEPH|SEFLG_NOGDEFL) | SEFLG_EQUATORIAL (| SEFLG_TOPCTR after swe_set_topo for the *_topo columns). RA/Dec degrees apparent-of-date, dist AU, deltat_sec = SE Delta-T seconds at the anchor, moon_sd_topo_deg = swe_pheno topocentric attr[3]/2.
label,se_body,star,anchor_jd_tdb,lat,lon,deltat_sec,moon_geo_ra,moon_geo_dec,moon_geo_dist,moon_topo_ra,moon_topo_dec,moon_topo_dist,tgt_geo_ra,tgt_geo_dec,tgt_geo_dist,tgt_topo_ra,tgt_topo_dec,tgt_topo_dist,moon_sd_topo_deg
Aldebaran@miss,-1,Aldebaran,2451561.306803673,68.282605,-122.699374,63.842347,68.736300799,17.668958830,0.002427744,68.961375034,16.689171892,0.002428445,68.981241100,16.507578819,4214646.479320297,68.981212927,16.507573437,4214646.479321504,0.274028301
Aldebaran@miss,-1,Aldebaran,2457052.221786267,71.562515,-120.579178,67.676814,69.084116093,17.707268011,0.002603460,69.182900340,16.776557588,0.002603764,69.201828751,16.536240616,4214818.720536062,69.201800842,16.536238080,4214818.720536891,0.255577021
Aldebaran@miss,-1,Aldebaran,2463828.036639955,71.588516,107.102123,70.164138,69.353385459,17.715918014,0.002528860,69.451277358,16.757580188,0.002529198,69.464033478,16.572186354,4215031.809476617,69.464005496,16.572183906,4215031.809477448,0.263112054
Regulus@miss,-1,Regulus,2454107.765509983,57.886507,64.118130,65.151938,152.678663288,12.927913003,0.002657120,152.218233133,12.129018460,0.002658138,152.191779948,11.931882575,5014955.896686221,152.191760501,11.931891543,5014955.896687715,0.250349005
Regulus@miss,-1,Regulus,2457741.256582170,-30.495707,99.034297,68.577076,152.049340502,10.937733500,0.002560424,152.725791510,11.507039512,0.002543152,152.318685633,11.882205674,5014968.543907342,152.318732319,11.882193001,5014968.543890324,0.261668392
Regulus@miss,-1,Regulus,2460883.394272637,60.108430,-0.585836,68.944106,152.958882484,12.923626074,0.002577645,152.512890908,12.084558501,0.002577853,152.429448895,11.843804484,5014980.614402817,152.429430831,11.843812845,5014980.614403564,0.258145935
Spica@miss,-1,Spica,2453620.780327074,42.830897,-176.764219,64.783083,201.887337896,-10.184127181,0.002635234,201.241074731,-10.846318641,0.002629342,201.367454714,-11.189828098,15793631.860759052,201.367478609,-11.189839926,15793631.860753614,0.253090786
Spica@miss,-1,Spica,2456134.183322114,-65.851805,-109.502595,66.768012,201.103157810,-12.336312169,0.002488228,201.454821436,-11.420094399,0.002489141,201.467678638,-11.227616160,15793632.692249034,201.467659227,-11.227610105,15793632.692250447,0.267346310
Spica@miss,-1,Spica,2460478.302593742,34.748513,76.033428,69.055642,202.105058254,-10.347111024,0.002680778,201.394472548,-10.906324513,0.002672587,201.622217102,-11.289854999,15793634.563300876,201.622244304,-11.289868327,15793634.563293058,0.248995523
Antares@miss,-1,Antares,2453378.335500773,49.832407,-134.028277,64.689943,247.726500467,-25.213366340,0.002426012,247.404955171,-26.157696408,0.002417822,247.421378461,-26.443411340,35019488.791291937,247.421435860,-26.443422772,35019488.791284293,0.275232272
Antares@miss,-1,Antares,2455208.049313420,36.558563,-50.329792,66.077872,247.605228154,-25.386323782,0.002654552,247.454188437,-26.196587143,0.002635191,247.506226798,-26.453969176,35019485.054741621,247.506305284,-26.453975021,35019485.054722697,0.252529040
Antares@miss,-1,Antares,2460181.605003711,24.618606,-96.751292,69.128396,247.960536499,-25.475095688,0.002536981,247.530133516,-26.179892827,0.002513324,247.713456919,-26.484844950,35019474.117141783,247.713538011,-26.484860845,35019474.117118500,0.264773843
Venus@miss,3,,2451607.572609598,-34.547235,158.749212,63.879436,321.490072632,-16.555658041,0.002643955,321.146681120,-16.247965004,0.002606711,321.037736011,-16.012398120,1.485559257,321.037192954,-16.011852483,1.485522183,0.255288095
Venus@miss,3,,2459019.823280911,36.073509,-1.329670,69.373787,64.031180184,19.142773851,0.002642951,64.558952970,18.811004090,0.002610414,64.659522786,18.568378693,0.324533704,64.663870848,18.565628797,0.324501418,0.254925987
Jupiter@miss,5,,2452081.654830716,-3.197498,128.303247,64.193736,84.823699295,22.329516877,0.002459076,84.664976568,22.759845196,0.002421091,84.611248569,23.038166690,6.113267299,84.611279371,23.038346640,6.113229487,0.274860711
Jupiter@miss,5,,2458871.612154707,-29.020825,120.413185,69.364461,282.715298832,-23.224570062,0.002602411,282.720214744,-23.130974822,0.002560021,282.722991647,-22.866280407,6.127656983,282.723078192,-22.866238660,6.127614614,0.259944143
Saturn@miss,6,,2452052.796690604,-35.440063,123.901736,64.177084,63.105588721,18.327141821,0.002510284,62.475228159,19.028717278,0.002496376,62.415408759,19.292636127,10.102612213,62.415301490,19.292828560,10.102598797,0.266571476
Saturn@miss,6,,2460406.930483789,-53.790886,101.031805,69.074934,346.603838330,-8.728088714,0.002408842,346.016819927,-7.900511904,0.002410188,346.100367302,-7.765944358,10.534952956,346.100219779,-7.765761964,10.534954724,0.276104049
